Time,Displacement,Force,Flexure displacement
(s),(mm),(N),(mm)
"0.0000","0.0000","13.8167","0.0000"
"0.1000","0.0069","14.7662","0.0069"
"0.2000","0.0183","16.5743","0.0183"
"0.3000","0.0281","17.9860","0.0281"
"0.4000","0.0380","19.2836","0.0380"
"0.5000","0.0480","20.6261","0.0480"
"0.6000","0.0580","22.0001","0.0580"
"0.7000","0.0680","23.3694","0.0680"
"0.8000","0.0780","24.7567","0.0780"
"0.9000","0.0880","26.1132","0.0880"
"1.0000","0.0980","27.4712","0.0980"
"1.1000","0.1080","28.8438","0.1080"
"1.2000","0.1180","30.1899","0.1180"
"1.3000","0.1279","31.5584","0.1279"
"1.4000","0.1380","32.9275","0.1380"
"1.5000","0.1480","34.3074","0.1480"
"1.6000","0.1580","35.6810","0.1580"
"1.7000","0.1680","37.0711","0.1680"
"1.8000","0.1779","38.4369","0.1779"
"1.9000","0.1879","39.8570","0.1879"
"2.0000","0.1980","41.2353","0.1980"
"2.1000","0.2080","42.5874","0.2080"
"2.2000","0.2180","43.8684","0.2180"
"2.3000","0.2280","45.2545","0.2280"
"2.4000","0.2379","46.6489","0.2379"
"2.5000","0.2480","48.0848","0.2480"
"2.6000","0.2580","49.4990","0.2580"
"2.7000","0.2680","50.9594","0.2680"
"2.8000","0.2780","52.3769","0.2780"
"2.9000","0.2879","53.8285","0.2879"
"3.0000","0.2980","55.2716","0.2980"
"3.1000","0.3080","56.7317","0.3080"
"3.2000","0.3180","58.1906","0.3180"
"3.3000","0.3280","59.6273","0.3280"
"3.4000","0.3379","61.0872","0.3379"
"3.5000","0.3479","62.5358","0.3479"
"3.6000","0.3580","63.9887","0.3580"
"3.7000","0.3680","65.4421","0.3680"
"3.8000","0.3780","66.9367","0.3780"
"3.9000","0.3879","68.3778","0.3879"
"4.0000","0.3979","69.8044","0.3979"
"4.1000","0.4080","71.2823","0.4080"
"4.2000","0.4180","72.7460","0.4180"
"4.3000","0.4280","74.2200","0.4280"
"4.4000","0.4380","75.6682","0.4380"
"4.5000","0.4479","77.1209","0.4479"
"4.6000","0.4580","78.6023","0.4580"
"4.7000","0.4680","80.0179","0.4680"
"4.8000","0.4780","81.4932","0.4780"
"4.9000","0.4880","82.9651","0.4880"
"5.0000","0.4979","84.3826","0.4979"
"5.1000","0.5079","85.8431","0.5079"
"5.2000","0.5180","87.3146","0.5180"
"5.3000","0.5280","88.7757","0.5280"
"5.4000","0.5380","90.2277","0.5380"
"5.5000","0.5480","91.6995","0.5480"
"5.6000","0.5579","93.1420","0.5579"
"5.7000","0.5680","94.5814","0.5680"
"5.8000","0.5780","96.0307","0.5780"
