Time,Displacement,Force,Flexure displacement
(s),(mm),(N),(mm)
"0.0000","0.0000","27.7276","0.0000"
"0.1000","0.0071","29.2924","0.0071"
"0.2000","0.0182","31.7782","0.0182"
"0.3000","0.0279","33.7063","0.0279"
"0.4000","0.0379","35.5768","0.0379"
"0.5000","0.0480","37.0421","0.0480"
"0.6000","0.0580","38.7500","0.0580"
"0.7000","0.0680","40.3050","0.0680"
"0.8000","0.0780","41.8653","0.0780"
"0.9000","0.0879","43.3707","0.0879"
"1.0000","0.0980","44.6896","0.0980"
"1.1000","0.1080","46.0741","0.1080"
"1.2000","0.1180","47.5238","0.1180"
"1.3000","0.1280","49.0185","0.1280"
"1.4000","0.1379","50.4722","0.1379"
"1.5000","0.1480","52.0010","0.1480"
"1.6000","0.1580","53.4621","0.1580"
"1.7000","0.1680","54.9466","0.1680"
"1.8000","0.1780","56.4030","0.1780"
"1.9000","0.1879","57.9408","0.1879"
"2.0000","0.1979","59.4642","0.1979"
"2.1000","0.2080","61.1441","0.2080"
"2.2000","0.2180","62.7902","0.2180"
"2.3000","0.2280","64.4405","0.2280"
"2.4000","0.2380","66.0388","0.2380"
"2.5000","0.2479","67.6535","0.2479"
"2.6000","0.2580","69.2640","0.2580"
"2.7000","0.2680","70.8384","0.2680"
"2.8000","0.2780","72.4693","0.2780"
"2.9000","0.2880","74.0718","0.2880"
"3.0000","0.2979","75.6575","0.2979"
"3.1000","0.3079","77.2527","0.3079"
"3.2000","0.3180","78.8447","0.3180"
"3.3000","0.3280","80.4317","0.3280"
"3.4000","0.3380","82.0200","0.3380"
"3.5000","0.3480","83.6270","0.3480"
"3.6000","0.3579","85.2837","0.3579"
"3.7000","0.3680","86.9429","0.3680"
"3.8000","0.3780","88.5272","0.3780"
"3.9000","0.3880","90.2182","0.3880"
"4.0000","0.3980","91.7851","0.3980"
"4.1000","0.4079","93.4161","0.4079"
"4.2000","0.4180","94.9924","0.4180"
"4.3000","0.4280","96.6253","0.4280"
"4.4000","0.4380","98.1866","0.4380"
"4.5000","0.4480","99.8595","0.4480"
"4.6000","0.4580","101.5390","0.4580"
"4.7000","0.4679","103.2338","0.4679"
"4.8000","0.4780","104.8957","0.4780"
"4.9000","0.4880","106.5985","0.4880"
"5.0000","0.4980","108.2527","0.4980"
"5.1000","0.5080","109.9197","0.5080"
"5.2000","0.5179","111.5868","0.5179"
"5.3000","0.5280","113.3205","0.5280"
"5.4000","0.5380","115.0142","0.5380"
"5.5000","0.5480","116.7331","0.5480"
"5.6000","0.5580","118.4256","0.5580"
"5.7000","0.5679","120.0660","0.5679"
"5.8000","0.5779","121.7337","0.5779"
"5.9000","0.5880","123.3959","0.5880"
"6.0000","0.5980","125.0955","0.5980"
"6.1000","0.6080","126.7817","0.6080"
"6.2000","0.6179","128.4549","0.6179"
"6.3000","0.6279","130.1469","0.6279"
"6.4000","0.6380","131.7751","0.6380"
"6.5000","0.6480","133.5299","0.6480"
"6.6000","0.6580","135.2144","0.6580"
"6.7000","0.6680","136.9154","0.6680"
"6.8000","0.6779","138.5529","0.6779"
"6.9000","0.6880","140.2811","0.6880"
"7.0000","0.6980","141.9772","0.6980"
"7.1000","0.7080","143.6823","0.7080"
"7.2000","0.7180","145.4110","0.7180"
"7.3000","0.7279","147.1434","0.7279"
"7.4000","0.7379","148.8272","0.7379"
"7.5000","0.7480","150.6287","0.7480"
"7.6000","0.7580","152.4002","0.7580"
"7.7000","0.7680","154.1003","0.7680"
"7.8000","0.7780","155.8940","0.7780"
"7.9000","0.7879","157.6280","0.7879"
"8.0000","0.7980","159.4322","0.7980"
"8.1000","0.8080","161.1987","0.8080"
"8.2000","0.8180","163.0431","0.8180"
"8.3000","0.8280","164.8043","0.8280"
"8.4000","0.8379","166.6371","0.8379"
"8.5000","0.8479","168.3896","0.8479"
"8.6000","0.8580","170.2548","0.8580"
"8.7000","0.8680","172.0289","0.8680"
"8.8000","0.8780","173.8226","0.8780"
"8.9000","0.8879","175.5874","0.8879"
"9.0000","0.8979","177.3952","0.8979"
"9.1000","0.9079","179.1620","0.9079"
"9.2000","0.9180","181.0177","0.9180"
"9.3000","0.9280","182.8252","0.9280"
"9.4000","0.9379","184.6624","0.9379"
"9.5000","0.9479","186.4800","0.9479"
"9.6000","0.9579","188.3234","0.9579"
"9.7000","0.9680","190.0983","0.9680"
"9.8000","0.9780","191.9695","0.9780"
"9.9000","0.9880","193.7073","0.9880"
"10.0000","0.9979","195.4894","0.9979"
"10.1000","1.0079","197.2234","1.0079"
"10.2000","1.0180","199.0459","1.0180"
"10.3000","1.0280","200.7990","1.0280"
"10.4000","1.0380","202.6033","1.0380"
"10.5000","1.0479","204.3803","1.0479"
"10.6000","1.0579","206.1836","1.0579"
"10.7000","1.0679","207.9727","1.0679"
"10.8000","1.0780","209.7682","1.0780"
"10.9000","1.0880","211.5428","1.0880"
"11.0000","1.0980","213.3324","1.0980"
"11.1000","1.1079","215.0094","1.1079"
"11.2000","1.1179","216.8427","1.1179"
"11.3000","1.1280","218.6048","1.1280"
"11.4000","1.1380","220.3820","1.1380"
"11.5000","1.1480","222.1438","1.1480"
"11.6000","1.1580","223.9557","1.1580"
"11.7000","1.1679","225.6690","1.1679"
"11.8000","1.1780","227.5074","1.1780"
"11.9000","1.1880","229.2462","1.1880"
"12.0000","1.1980","231.0254","1.1980"
"12.1000","1.2080","232.8023","1.2080"
"12.2000","1.2179","234.5820","1.2179"
"12.3000","1.2279","236.3362","1.2279"
"12.4000","1.2380","238.1748","1.2380"
"12.5000","1.2480","239.8998","1.2480"
"12.6000","1.2580","241.7386","1.2580"
"12.7000","1.2679","243.5020","1.2679"
"12.8000","1.2779","245.3429","1.2779"
"12.9000","1.2880","247.1549","1.2880"
"13.0000","1.2980","248.9508","1.2980"
"13.1000","1.3080","250.6693","1.3080"
"13.2000","1.3179","252.4869","1.3179"
"13.3000","1.3279","254.2705","1.3279"
"13.4000","1.3379","256.0834","1.3379"
"13.5000","1.3480","257.8517","1.3480"
"13.6000","1.3580","259.6690","1.3580"
"13.7000","1.3680","261.4283","1.3680"
"13.8000","1.3779","263.2123","1.3779"
"13.9000","1.3879","264.9275","1.3879"
"14.0000","1.3980","266.7410","1.3980"
"14.1000","1.4080","268.5042","1.4080"
"14.2000","1.4180","270.3240","1.4180"
"14.3000","1.4279","272.0859","1.4279"
"14.4000","1.4379","273.8207","1.4379"
"14.5000","1.4480","275.6405","1.4480"
"14.6000","1.4580","277.4323","1.4580"
"14.7000","1.4680","279.2247","1.4680"
"14.8000","1.4780","281.0739","1.4780"
"14.9000","1.4879","282.8211","1.4879"
"15.0000","1.4979","284.6587","1.4979"
"15.1000","1.5080","286.3697","1.5080"
"15.2000","1.5180","288.1744","1.5180"
"15.3000","1.5280","289.9867","1.5280"
"15.4000","1.5379","291.7548","1.5379"
"15.5000","1.5479","293.5638","1.5479"
"15.6000","1.5580","295.4136","1.5580"
"15.7000","1.5680","297.1316","1.5680"
"15.8000","1.5780","298.9380","1.5780"
"15.9000","1.5879","300.7082","1.5879"
"16.0000","1.5979","302.5528","1.5979"
"16.1000","1.6079","304.3514","1.6079"
"16.2000","1.6180","306.2165","1.6180"
"16.3000","1.6280","308.0050","1.6280"
"16.4000","1.6380","309.8268","1.6380"
"16.5000","1.6479","311.5520","1.6479"
"16.6000","1.6579","313.3733","1.6579"
"16.7000","1.6680","315.1601","1.6680"
"16.8000","1.6780","316.9930","1.6780"
"16.9000","1.6880","318.7548","1.6880"
"17.0000","1.6979","320.6071","1.6979"
"17.1000","1.7079","322.4315","1.7079"
"17.2000","1.7180","324.2648","1.7180"
"17.3000","1.7280","326.0770","1.7280"
"17.4000","1.7380","327.8945","1.7380"
"17.5000","1.7479","329.6841","1.7479"
"17.6000","1.7579","331.4860","1.7579"
"17.7000","1.7679","333.2767","1.7679"
"17.8000","1.7780","335.0960","1.7780"
"17.9000","1.7880","336.9362","1.7880"
"18.0000","1.7980","338.7107","1.7980"
"18.1000","1.8079","340.4942","1.8079"
"18.2000","1.8179","342.3196","1.8179"
"18.3000","1.8280","344.1733","1.8280"
"18.4000","1.8380","345.9947","1.8380"
"18.5000","1.8480","347.7922","1.8480"
"18.6000","1.8580","349.6501","1.8580"
"18.7000","1.8679","351.4285","1.8679"
"18.8000","1.8780","353.2607","1.8780"
"18.9000","1.8880","355.0763","1.8880"
"19.0000","1.8980","356.8496","1.8980"
"19.1000","1.9080","358.6744","1.9080"
"19.2000","1.9179","360.3864","1.9179"
"19.3000","1.9279","362.1451","1.9279"
"19.4000","1.9380","363.9596","1.9380"
"19.5000","1.9480","365.8039","1.9480"
"19.6000","1.9580","367.6067","1.9580"
"19.7000","1.9679","369.4248","1.9679"
"19.8000","1.9779","371.2584","1.9779"
"19.9000","1.9880","373.1299","1.9880"
"20.0000","1.9980","374.9473","1.9980"
"20.1000","2.0080","376.7768","2.0080"
"20.2000","2.0180","378.5478","2.0180"
"20.3000","2.0279","380.3179","2.0279"
"20.4000","2.0379","382.1852","2.0379"
"20.5000","2.0480","383.9956","2.0480"
"20.6000","2.0580","385.8531","2.0580"
"20.7000","2.0680","387.6901","2.0680"
"20.8000","2.0779","389.4741","2.0779"
"20.9000","2.0879","391.2918","2.0879"
"21.0000","2.0980","393.1433","2.0980"
"21.1000","2.1080","394.9629","2.1080"
"21.2000","2.1180","396.7532","2.1180"
"21.3000","2.1280","398.5784","2.1280"
"21.4000","2.1379","400.3814","2.1379"
"21.5000","2.1480","402.2408","2.1480"
"21.6000","2.1580","404.0358","2.1580"
"21.7000","2.1680","405.8517","2.1680"
"21.8000","2.1780","407.6978","2.1780"
"21.9000","2.1879","409.5173","2.1879"
"22.0000","2.1979","411.3117","2.1979"
"22.1000","2.2080","413.1823","2.2080"
"22.2000","2.2180","414.9651","2.2180"
"22.3000","2.2280","416.7836","2.2280"
"22.4000","2.2379","418.6335","2.2379"
"22.5000","2.2479","420.3777","2.2479"
"22.6000","2.2580","422.2353","2.2580"
"22.7000","2.2680","424.0043","2.2680"
"22.8000","2.2780","425.8672","2.2780"
"22.9000","2.2879","427.6878","2.2879"
"23.0000","2.2979","429.4882","2.2979"
"23.1000","2.3079","431.3257","2.3079"
"23.2000","2.3180","433.1384","2.3180"
"23.3000","2.3280","434.9608","2.3280"
"23.4000","2.3380","436.8059","2.3380"
"23.5000","2.3479","438.6031","2.3479"
"23.6000","2.3579","440.5238","2.3579"
"23.7000","2.3680","442.3234","2.3680"
"23.8000","2.3780","444.1459","2.3780"
"23.9000","2.3880","445.9407","2.3880"
"24.0000","2.3979","447.7393","2.3979"
"24.1000","2.4079","449.5102","2.4079"
"24.2000","2.4180","451.4003","2.4180"
"24.3000","2.4280","453.1772","2.4280"
"24.4000","2.4380","455.0114","2.4380"
"24.5000","2.4480","456.8043","2.4480"
"24.6000","2.4579","458.6152","2.4579"
"24.7000","2.4680","460.3849","2.4680"
"24.8000","2.4780","462.2077","2.4780"
"24.9000","2.4880","463.9937","2.4880"
"25.0000","2.4980","465.8280","2.4980"
"25.1000","2.5079","467.5833","2.5079"
"25.2000","2.5179","469.4137","2.5179"
"25.3000","2.5280","471.2038","2.5280"
"25.4000","2.5380","473.0356","2.5380"
"25.5000","2.5480","474.8076","2.5480"
"25.6000","2.5580","476.6328","2.5580"
"25.7000","2.5679","478.4010","2.5679"
"25.8000","2.5780","480.2214","2.5780"
"25.9000","2.5880","482.0231","2.5880"
"26.0000","2.5980","483.8593","2.5980"
"26.1000","2.6080","485.6426","2.6080"
"26.2000","2.6179","487.4513","2.6179"
"26.3000","2.6279","489.3047","2.6279"
"26.4000","2.6380","491.1580","2.6380"
"26.5000","2.6480","492.9434","2.6480"
"26.6000","2.6580","494.7623","2.6580"
"26.7000","2.6680","496.5949","2.6680"
"26.8000","2.6779","498.3783","2.6779"
"26.9000","2.6880","500.2555","2.6880"
"27.0000","2.6980","502.0711","2.6980"
"27.1000","2.7080","503.8967","2.7080"
"27.2000","2.7180","505.7050","2.7180"
"27.3000","2.7279","507.5670","2.7279"
"27.4000","2.7379","509.3476","2.7379"
"27.5000","2.7480","511.1828","2.7480"
"27.6000","2.7580","512.9984","2.7580"
"27.7000","2.7680","514.7565","2.7680"
"27.8000","2.7779","516.6015","2.7779"
"27.9000","2.7879","518.4166","2.7879"
"28.0000","2.7980","520.2823","2.7980"
"28.1000","2.8080","522.0658","2.8080"
"28.2000","2.8180","523.9101","2.8180"
"28.3000","2.8280","525.6680","2.8280"
"28.4000","2.8379","527.4846","2.8379"
"28.5000","2.8479","529.2549","2.8479"
"28.6000","2.8580","531.0901","2.8580"
"28.7000","2.8680","532.8860","2.8680"
"28.8000","2.8780","534.6691","2.8780"
"28.9000","2.8879","536.4461","2.8879"
"29.0000","2.8979","538.2713","2.8979"
"29.1000","2.9080","540.1141","2.9080"
"29.2000","2.9180","541.8934","2.9180"
"29.3000","2.9280","543.7291","2.9280"
"29.4000","2.9379","545.4734","2.9379"
"29.5000","2.9479","547.3273","2.9479"
"29.6000","2.9579","549.1968","2.9579"
"29.7000","2.9680","551.0145","2.9680"
"29.8000","2.9780","552.8041","2.9780"
"29.9000","2.9880","554.6499","2.9880"
"30.0000","2.9979","556.3875","2.9979"
"30.1000","3.0079","558.2613","3.0079"
"30.2000","3.0180","560.0510","3.0180"
"30.3000","3.0280","561.8499","3.0280"
"30.4000","3.0380","563.6539","3.0380"
"30.5000","3.0479","565.4771","3.0479"
"30.6000","3.0579","567.2924","3.0579"
"30.7000","3.0680","569.1619","3.0680"
"30.8000","3.0780","570.9352","3.0780"
"30.9000","3.0880","572.7696","3.0880"
"31.0000","3.0980","574.5323","3.0980"
"31.1000","3.1079","576.3313","3.1079"
"31.2000","3.1180","578.1987","3.1180"
"31.3000","3.1280","580.0187","3.1280"
"31.4000","3.1380","581.8353","3.1380"
"31.5000","3.1480","583.6475","3.1480"
"31.6000","3.1579","585.4611","3.1579"
"31.7000","3.1679","587.2210","3.1679"
"31.8000","3.1780","589.0898","3.1780"
"31.9000","3.1880","590.8597","3.1880"
"32.0000","3.1980","592.6722","3.1980"
"32.1000","3.2080","594.4675","3.2080"
"32.2000","3.2179","596.2715","3.2179"
"32.3000","3.2280","598.1122","3.2280"
"32.4000","3.2380","599.9636","3.2380"
"32.5000","3.2480","601.7446","3.2480"
"32.6000","3.2580","603.5412","3.2580"
"32.7000","3.2679","605.3143","3.2679"
"32.8000","3.2779","607.0764","3.2779"
"32.9000","3.2880","608.8969","3.2880"
"33.0000","3.2980","610.7495","3.2980"
"33.1000","3.3080","612.5341","3.3080"
"33.2000","3.3179","614.3878","3.3179"
"33.3000","3.3279","616.1644","3.3279"
"33.4000","3.3380","618.0192","3.3380"
"33.5000","3.3480","619.7875","3.3480"
"33.6000","3.3580","621.6274","3.3580"
"33.7000","3.3680","623.4303","3.3680"
"33.8000","3.3779","625.3033","3.3779"
"33.9000","3.3880","627.0870","3.3880"
"34.0000","3.3980","628.9809","3.3980"
"34.1000","3.4080","630.7443","3.4080"
"34.2000","3.4180","632.5544","3.4180"
"34.3000","3.4279","634.3098","3.4279"
"34.4000","3.4379","636.1490","3.4379"
"34.5000","3.4480","638.0377","3.4480"
"34.6000","3.4580","639.8676","3.4580"
"34.7000","3.4680","641.6912","3.4680"
"34.8000","3.4780","643.4984","3.4780"
"34.9000","3.4879","645.3105","3.4879"
"35.0000","3.4980","647.1682","3.4980"
"35.1000","3.5080","648.9833","3.5080"
"35.2000","3.5180","650.7724","3.5180"
"35.3000","3.5280","652.5498","3.5280"
"35.4000","3.5379","654.3107","3.5379"
"35.5000","3.5480","656.1475","3.5480"
"35.6000","3.5580","657.9404","3.5580"
"35.7000","3.5680","659.7147","3.5680"
"35.8000","3.5780","661.5458","3.5780"
"35.9000","3.5879","663.3568","3.5879"
"36.0000","3.5979","665.1770","3.5979"
"36.1000","3.6080","667.0478","3.6080"
"36.2000","3.6180","668.8864","3.6180"
"36.3000","3.6280","670.7122","3.6280"
"36.4000","3.6380","672.4964","3.6380"
"36.5000","3.6479","674.3196","3.6479"
"36.6000","3.6580","676.1544","3.6580"
"36.7000","3.6680","678.0056","3.6680"
"36.8000","3.6780","679.8291","3.6780"
"36.9000","3.6880","681.5619","3.6880"
"37.0000","3.6979","683.3757","3.6979"
"37.1000","3.7079","685.1472","3.7079"
"37.2000","3.7180","686.9875","3.7180"
"37.3000","3.7280","688.7955","3.7280"
"37.4000","3.7380","690.6608","3.7380"
"37.5000","3.7479","692.4463","3.7479"
"37.6000","3.7579","694.2514","3.7579"
"37.7000","3.7680","696.0210","3.7680"
"37.8000","3.7780","697.9171","3.7780"
"37.9000","3.7880","699.7173","3.7880"
"38.0000","3.7980","701.5396","3.7980"
"38.1000","3.8079","703.2948","3.8079"
"38.2000","3.8179","705.1317","3.8179"
"38.3000","3.8280","706.9275","3.8280"
"38.4000","3.8380","708.7964","3.8380"
"38.5000","3.8480","710.6345","3.8480"
"38.6000","3.8579","712.4323","3.8579"
"38.7000","3.8679","714.2379","3.8679"
"38.8000","3.8780","716.1152","3.8780"
"38.9000","3.8880","717.9128","3.8880"
"39.0000","3.8980","719.7075","3.8980"
"39.1000","3.9080","721.4906","3.9080"
"39.2000","3.9179","723.3053","3.9179"
"39.3000","3.9279","725.1403","3.9279"
"39.4000","3.9380","726.9738","3.9380"
"39.5000","3.9480","728.7972","3.9480"
"39.6000","3.9580","730.6661","3.9580"
"39.7000","3.9679","732.4174","3.9679"
"39.8000","3.9779","734.2869","3.9779"
"39.9000","3.9880","736.1001","3.9880"
"40.0000","3.9980","737.9363","3.9980"
"40.1000","4.0080","739.7093","4.0080"
"40.2000","4.0179","741.5178","4.0179"
"40.3000","4.0279","743.3552","4.0279"
"40.4000","4.0380","745.2104","4.0380"
"40.5000","4.0480","747.0895","4.0480"
"40.6000","4.0580","748.9445","4.0580"
"40.7000","4.0680","750.7892","4.0680"
"40.8000","4.0779","752.6104","4.0779"
"40.9000","4.0879","754.4485","4.0879"
"41.0000","4.0980","756.2762","4.0980"
"41.1000","4.1080","758.0472","4.1080"
"41.2000","4.1180","759.8998","4.1180"
"41.3000","4.1279","761.7641","4.1279"
"41.4000","4.1379","763.6209","4.1379"
"41.5000","4.1480","765.4632","4.1480"
"41.6000","4.1580","767.3179","4.1580"
"41.7000","4.1680","769.1734","4.1680"
"41.8000","4.1780","770.9813","4.1780"
"41.9000","4.1879","772.7527","4.1879"
"42.0000","4.1980","774.6332","4.1980"
"42.1000","4.2080","776.4092","4.2080"
"42.2000","4.2180","778.2329","4.2180"
"42.3000","4.2280","780.0056","4.2280"
"42.4000","4.2379","781.7758","4.2379"
"42.5000","4.2479","783.5961","4.2479"
"42.6000","4.2580","785.4054","4.2580"
"42.7000","4.2680","787.2026","4.2680"
"42.8000","4.2780","789.0614","4.2780"
"42.9000","4.2880","790.8499","4.2880"
"43.0000","4.2979","792.6997","4.2979"
"43.1000","4.3080","794.5397","4.3080"
"43.2000","4.3180","796.3633","4.3180"
"43.3000","4.3280","798.1331","4.3280"
"43.4000","4.3380","799.9312","4.3380"
"43.5000","4.3479","801.7005","4.3479"
"43.6000","4.3580","803.5809","4.3580"
"43.7000","4.3680","805.3669","4.3680"
"43.8000","4.3780","807.2077","4.3780"
"43.9000","4.3880","809.0339","4.3880"
"44.0000","4.3979","810.8397","4.3979"
"44.1000","4.4079","812.6298","4.4079"
"44.2000","4.4180","814.4969","4.4180"
"44.3000","4.4280","816.2894","4.4280"
"44.4000","4.4380","818.1215","4.4380"
"44.5000","4.4480","819.8729","4.4480"
"44.6000","4.4579","821.6534","4.4579"
"44.7000","4.4680","823.4738","4.4680"
"44.8000","4.4780","825.3682","4.4780"
"44.9000","4.4880","827.1720","4.4880"
"45.0000","4.4980","829.0021","4.4980"
"45.1000","4.5079","830.8452","4.5079"
"45.2000","4.5179","832.7037","4.5179"
"45.3000","4.5280","834.5656","4.5280"
"45.4000","4.5380","836.3745","4.5380"
"45.5000","4.5480","838.2008","4.5480"
"45.6000","4.5579","840.0574","4.5579"
"45.7000","4.5679","841.8401","4.5679"
"45.8000","4.5780","843.7181","4.5780"
"45.9000","4.5880","845.5321","4.5880"
"46.0000","4.5980","847.4235","4.5980"
"46.1000","4.6079","849.2598","4.6079"
"46.2000","4.6179","851.0097","4.6179"
"46.3000","4.6279","852.8867","4.6279"
"46.4000","4.6380","854.7471","4.6380"
"46.5000","4.6480","856.5923","4.6480"
"46.6000","4.6580","858.3724","4.6580"
"46.7000","4.6679","860.1631","4.6679"
"46.8000","4.6779","862.0055","4.6779"
"46.9000","4.6880","863.8746","4.6880"
"47.0000","4.6980","865.7386","4.6980"
"47.1000","4.7080","867.5529","4.7080"
"47.2000","4.7179","869.3566","4.7179"
"47.3000","4.7279","871.2036","4.7279"
"47.4000","4.7379","872.9912","4.7379"
"47.5000","4.7480","874.7704","4.7480"
"47.6000","4.7580","876.5629","4.7580"
"47.7000","4.7680","878.3806","4.7680"
"47.8000","4.7779","880.1907","4.7779"
"47.9000","4.7879","882.0478","4.7879"
"48.0000","4.7980","883.8741","4.7980"
"48.1000","4.8080","885.6737","4.8080"
"48.2000","4.8180","887.5215","4.8180"
"48.3000","4.8279","889.3079","4.8279"
"48.4000","4.8379","891.1323","4.8379"
"48.5000","4.8480","892.9917","4.8480"
"48.6000","4.8580","894.8148","4.8580"
"48.7000","4.8680","896.6602","4.8680"
"48.8000","4.8780","898.4755","4.8780"
"48.9000","4.8879","900.2820","4.8879"
"49.0000","4.8980","902.1047","4.8980"
"49.1000","4.9080","903.9384","4.9080"
"49.2000","4.9180","905.7289","4.9180"
"49.3000","4.9280","907.5901","4.9280"
"49.4000","4.9379","909.4182","4.9379"
"49.5000","4.9479","911.3388","4.9479"
"49.6000","4.9580","913.2312","4.9580"
"49.7000","4.9680","915.0392","4.9680"
"49.8000","4.9780","916.9220","4.9780"
"49.9000","4.9879","918.7605","4.9879"
"50.0000","4.9979","920.5577","4.9979"
"50.1000","5.0080","922.4510","5.0080"
"50.2000","5.0180","924.2366","5.0180"
"50.3000","5.0280","926.1062","5.0280"
"50.4000","5.0380","927.9944","5.0380"
"50.5000","5.0479","929.7875","5.0479"
"50.6000","5.0579","931.6234","5.0579"
"50.7000","5.0680","933.4194","5.0680"
"50.8000","5.0780","935.2155","5.0780"
"50.9000","5.0880","937.0690","5.0880"
"51.0000","5.0979","938.8774","5.0979"
"51.1000","5.1079","940.6967","5.1079"
"51.2000","5.1180","942.4905","5.1180"
"51.3000","5.1280","944.2806","5.1280"
"51.4000","5.1380","946.0564","5.1380"
"51.5000","5.1480","947.8587","5.1480"
"51.6000","5.1579","949.6391","5.1579"
"51.7000","5.1679","951.4196","5.1679"
"51.8000","5.1780","953.2383","5.1780"
"51.9000","5.1880","954.9889","5.1880"
"52.0000","5.1980","956.7602","5.1980"
"52.1000","5.2079","958.4904","5.2079"
"52.2000","5.2179","960.3119","5.2179"
"52.3000","5.2280","962.1182","5.2280"
"52.4000","5.2380","963.9065","5.2380"
"52.5000","5.2480","965.6988","5.2480"
"52.6000","5.2580","967.4883","5.2580"
"52.7000","5.2679","969.2499","5.2679"
"52.8000","5.2780","971.1075","5.2780"
"52.9000","5.2880","972.9085","5.2880"
"53.0000","5.2980","974.7049","5.2980"
"53.1000","5.3080","976.4628","5.3080"
"53.2000","5.3179","978.2440","5.3179"
"53.3000","5.3279","980.0139","5.3279"
"53.4000","5.3380","981.7866","5.3380"
"53.5000","5.3480","983.5411","5.3480"
"53.6000","5.3580","985.2741","5.3580"
"53.7000","5.3679","986.9711","5.3679"
"53.8000","5.3779","988.6574","5.3779"
"53.9000","5.3880","990.4584","5.3880"
"54.0000","5.3980","992.2206","5.3980"
"54.1000","5.4080","993.9647","5.4080"
"54.2000","5.4180","995.6707","5.4180"
"54.3000","5.4279","997.3688","5.4279"
"54.4000","5.4379","999.1605","5.4379"
"54.5000","5.4480","1000.8899","5.4480"
"54.6000","5.4580","1002.6252","5.4580"
"54.7000","5.4680","1004.3860","5.4680"
"54.8000","5.4779","1006.1149","5.4779"
"54.9000","5.4879","1007.8934","5.4879"
"55.0000","5.4980","1009.7157","5.4980"
"55.1000","5.5080","1011.4850","5.5080"
"55.2000","5.5180","1013.2669","5.5180"
"55.3000","5.5280","1015.0033","5.5280"
"55.4000","5.5379","1016.7260","5.5379"
"55.5000","5.5480","1018.5284","5.5480"
"55.6000","5.5580","1020.3030","5.5580"
"55.7000","5.5680","1022.0488","5.5680"
"55.8000","5.5780","1023.8117","5.5780"
"55.9000","5.5879","1025.5508","5.5879"
"56.0000","5.5979","1027.3608","5.5979"
