Time,Displacement,Force,Flexure displacement
(s),(mm),(N),(mm)
"0.0000","0.0000","69.1979","0.0000"
"0.1000","0.0071","70.7710","0.0071"
"0.2000","0.0182","73.4136","0.0182"
"0.3000","0.0280","75.5691","0.0280"
"0.4000","0.0380","77.3995","0.0380"
"0.5000","0.0480","78.8830","0.0480"
"0.6000","0.0580","80.4630","0.0580"
"0.7000","0.0680","81.9404","0.0680"
"0.8000","0.0779","83.4194","0.0779"
"0.9000","0.0880","84.8994","0.0880"
"1.0000","0.0980","86.3407","0.0980"
"1.1000","0.1080","87.8231","0.1080"
"1.2000","0.1180","89.2761","0.1180"
"1.3000","0.1279","90.6716","0.1279"
"1.4000","0.1380","92.1483","0.1380"
"1.5000","0.1480","93.6171","0.1480"
"1.6000","0.1580","95.0531","0.1580"
"1.7000","0.1680","96.4939","0.1680"
"1.8000","0.1779","97.9341","0.1779"
"1.9000","0.1879","99.3271","0.1879"
"2.0000","0.1980","100.7463","0.1980"
"2.1000","0.2080","102.1538","0.2080"
"2.2000","0.2180","103.5495","0.2180"
"2.3000","0.2280","104.9117","0.2280"
"2.4000","0.2379","106.2995","0.2379"
"2.5000","0.2480","107.7075","0.2480"
"2.6000","0.2580","109.1270","0.2580"
"2.7000","0.2680","110.5435","0.2680"
"2.8000","0.2780","111.9027","0.2780"
"2.9000","0.2879","113.2805","0.2879"
"3.0000","0.2980","114.6620","0.2980"
"3.1000","0.3080","116.0235","0.3080"
"3.2000","0.3180","117.4541","0.3180"
"3.3000","0.3280","118.8467","0.3280"
"3.4000","0.3380","120.1573","0.3380"
"3.5000","0.3479","121.5395","0.3479"
"3.6000","0.3580","122.9682","0.3580"
"3.7000","0.3680","124.3534","0.3680"
"3.8000","0.3780","125.7414","0.3780"
"3.9000","0.3880","127.1226","0.3880"
"4.0000","0.3979","128.5113","0.3979"
"4.1000","0.4080","129.9323","0.4080"
"4.2000","0.4180","131.3284","0.4180"
"4.3000","0.4280","132.7327","0.4280"
"4.4000","0.4380","134.1362","0.4380"
"4.5000","0.4479","135.5090","0.4479"
"4.6000","0.4579","136.9352","0.4579"
"4.7000","0.4680","138.3211","0.4680"
"4.8000","0.4780","139.7003","0.4780"
"4.9000","0.4880","141.0728","0.4880"
"5.0000","0.4980","142.4971","0.4980"
"5.1000","0.5079","143.8745","0.5079"
"5.2000","0.5180","145.2128","0.5180"
"5.3000","0.5280","146.6439","0.5280"
"5.4000","0.5380","147.9794","0.5380"
"5.5000","0.5480","149.3687","0.5480"
"5.6000","0.5579","150.7920","0.5579"
"5.7000","0.5679","152.1947","0.5679"
"5.8000","0.5780","153.5751","0.5780"
"5.9000","0.5880","154.9625","0.5880"
"6.0000","0.5980","156.4122","0.5980"
"6.1000","0.6079","157.8163","0.6079"
"6.2000","0.6179","159.2505","0.6179"
"6.3000","0.6280","160.6398","0.6280"
"6.4000","0.6380","162.0856","0.6380"
"6.5000","0.6480","163.4900","0.6480"
"6.6000","0.6580","164.8628","0.6580"
"6.7000","0.6679","166.2556","0.6679"
"6.8000","0.6780","167.6565","0.6780"
"6.9000","0.6880","169.0398","0.6880"
"7.0000","0.6980","170.4131","0.6980"
"7.1000","0.7080","171.8037","0.7080"
"7.2000","0.7179","173.1930","0.7179"
"7.3000","0.7279","174.5879","0.7279"
"7.4000","0.7380","176.0264","0.7380"
"7.5000","0.7480","177.3997","0.7480"
"7.6000","0.7580","178.8035","0.7580"
"7.7000","0.7680","180.2249","0.7680"
"7.8000","0.7779","181.6208","0.7779"
"7.9000","0.7880","183.0274","0.7880"
"8.0000","0.7980","184.4304","0.7980"
"8.1000","0.8080","185.8363","0.8080"
"8.2000","0.8180","187.2355","0.8180"
"8.3000","0.8279","188.6213","0.8279"
"8.4000","0.8379","190.0338","0.8379"
"8.5000","0.8480","191.4106","0.8480"
"8.6000","0.8580","192.8162","0.8580"
"8.7000","0.8680","194.1982","0.8680"
"8.8000","0.8779","195.5009","0.8779"
"8.9000","0.8879","196.8870","0.8879"
"9.0000","0.8980","198.2720","0.8980"
"9.1000","0.9080","199.6085","0.9080"
"9.2000","0.9180","200.9931","0.9180"
"9.3000","0.9280","202.3125","0.9280"
"9.4000","0.9379","203.6900","0.9379"
"9.5000","0.9480","205.0392","0.9480"
"9.6000","0.9580","206.4489","0.9580"
"9.7000","0.9680","207.7940","0.9680"
"9.8000","0.9780","209.1601","0.9780"
"9.9000","0.9879","210.5139","0.9879"
"10.0000","0.9979","211.8882","0.9979"
"10.1000","1.0080","213.2217","1.0080"
"10.2000","1.0180","214.5896","1.0180"
"10.3000","1.0280","215.9946","1.0280"
"10.4000","1.0379","217.3522","1.0379"
"10.5000","1.0479","218.7181","1.0479"
"10.6000","1.0580","220.1038","1.0580"
"10.7000","1.0680","221.4612","1.0680"
"10.8000","1.0780","222.7923","1.0780"
"10.9000","1.0880","224.1684","1.0880"
"11.0000","1.0979","225.4628","1.0979"
"11.1000","1.1079","226.8315","1.1079"
"11.2000","1.1180","228.1617","1.1180"
"11.3000","1.1280","229.5006","1.1280"
"11.4000","1.1380","230.8288","1.1380"
"11.5000","1.1479","232.1250","1.1479"
"11.6000","1.1579","233.4355","1.1579"
"11.7000","1.1680","234.7707","1.1680"
"11.8000","1.1780","236.0805","1.1780"
"11.9000","1.1880","237.3646","1.1880"
"12.0000","1.1980","238.6775","1.1980"
"12.1000","1.2079","239.9893","1.2079"
"12.2000","1.2180","241.3010","1.2180"
"12.3000","1.2280","242.6268","1.2280"
"12.4000","1.2380","243.9548","1.2380"
"12.5000","1.2480","245.2392","1.2480"
"12.6000","1.2579","246.5465","1.2579"
"12.7000","1.2679","247.8509","1.2679"
"12.8000","1.2780","249.1706","1.2780"
"12.9000","1.2880","250.4545","1.2880"
"13.0000","1.2980","251.7516","1.2980"
"13.1000","1.3079","253.0274","1.3079"
"13.2000","1.3179","254.3444","1.3179"
"13.3000","1.3280","255.6542","1.3280"
"13.4000","1.3380","256.9955","1.3380"
"13.5000","1.3480","258.3234","1.3480"
"13.6000","1.3580","259.5961","1.3580"
"13.7000","1.3679","260.8961","1.3679"
"13.8000","1.3779","262.2179","1.3779"
"13.9000","1.3880","263.5344","1.3880"
"14.0000","1.3980","264.8757","1.3980"
"14.1000","1.4080","266.1563","1.4080"
"14.2000","1.4179","267.4690","1.4179"
"14.3000","1.4279","268.7565","1.4279"
