Time,Displacement,Force,Flexure displacement
(s),(mm),(N),(mm)
"0.0000","0.0000","1.4858","0.0000"
"0.1000","0.0070","1.5077","0.0070"
"0.2000","0.0182","1.4731","0.0182"
"0.3000","0.0280","1.4967","0.0280"
"0.4000","0.0380","1.4953","0.0380"
"0.5000","0.0480","1.4786","0.0480"
"0.6000","0.0579","1.4812","0.0579"
"0.7000","0.0680","1.5095","0.0680"
"0.8000","0.0780","1.4756","0.0780"
"0.9000","0.0880","1.4941","0.0880"
"1.0000","0.0980","1.4880","0.0980"
"1.1000","0.1080","1.4920","0.1080"
"1.2000","0.1179","1.4977","0.1179"
"1.3000","0.1280","1.4837","0.1280"
"1.4000","0.1380","1.4937","0.1380"
"1.5000","0.1480","1.4822","0.1480"
"1.6000","0.1580","1.4922","0.1580"
"1.7000","0.1679","1.5081","0.1679"
"1.8000","0.1779","1.4668","0.1779"
"1.9000","0.1880","1.4964","0.1880"
"2.0000","0.1980","1.4956","0.1980"
"2.1000","0.2080","1.4733","0.2080"
"2.2000","0.2179","1.4801","0.2179"
"2.3000","0.2279","1.4973","0.2279"
"2.4000","0.2380","1.4849","0.2380"
"2.5000","0.2480","1.4585","0.2480"
"2.6000","0.2580","1.5051","0.2580"
"2.7000","0.2680","1.4991","0.2680"
"2.8000","0.2779","1.4755","0.2779"
"2.9000","0.2880","1.4962","0.2880"
"3.0000","0.2980","1.5016","0.2980"
"3.1000","0.3080","1.4797","0.3080"
"3.2000","0.3180","1.4850","0.3180"
"3.3000","0.3279","1.4658","0.3279"
"3.4000","0.3379","1.4854","0.3379"
"3.5000","0.3480","1.5001","0.3480"
"3.6000","0.3580","1.4927","0.3580"
"3.7000","0.3680","1.4749","0.3680"
"3.8000","0.3780","1.4915","0.3780"
"3.9000","0.3879","1.4884","0.3879"
"4.0000","0.3980","1.4700","0.3980"
"4.1000","0.4080","1.4995","0.4080"
"4.2000","0.4180","1.5014","0.4180"
"4.3000","0.4280","1.4798","0.4280"
"4.4000","0.4379","1.4986","0.4379"
"4.5000","0.4479","1.4940","0.4479"
"4.6000","0.4580","1.4707","0.4580"
"4.7000","0.4680","1.4785","0.4680"
"4.8000","0.4780","1.4765","0.4780"
"4.9000","0.4879","1.4963","0.4879"
"5.0000","0.4979","1.4971","0.4979"
"5.1000","0.5080","1.4674","0.5080"
"5.2000","0.5180","1.4810","0.5180"
"5.3000","0.5280","1.4836","0.5280"
"5.4000","0.5379","1.5111","0.5379"
"5.5000","0.5479","1.4741","0.5479"
"5.6000","0.5579","1.4734","0.5579"
"5.7000","0.5680","1.5029","0.5680"
"5.8000","0.5780","1.4973","0.5780"
"5.9000","0.5880","1.4704","0.5880"
"6.0000","0.5979","1.4908","0.5979"
"6.1000","0.6079","1.4975","0.6079"
"6.2000","0.6180","1.4857","0.6180"
"6.3000","0.6280","1.4994","0.6280"
"6.4000","0.6380","1.4896","0.6380"
"6.5000","0.6479","1.4990","0.6479"
"6.6000","0.6579","1.4703","0.6579"
"6.7000","0.6680","1.4901","0.6680"
"6.8000","0.6780","1.4792","0.6780"
"6.9000","0.6880","1.4808","0.6880"
"7.0000","0.6980","1.4758","0.6980"
"7.1000","0.7079","1.4754","0.7079"
"7.2000","0.7179","1.4656","0.7179"
"7.3000","0.7280","1.4858","0.7280"
"7.4000","0.7380","1.4975","0.7380"
"7.5000","0.7480","1.4681","0.7480"
"7.6000","0.7579","1.4725","0.7579"
"7.7000","0.7679","1.4860","0.7679"
"7.8000","0.7780","1.4750","0.7780"
"7.9000","0.7880","1.4927","0.7880"
"8.0000","0.7980","1.4807","0.7980"
"8.1000","0.8080","1.4827","0.8080"
"8.2000","0.8179","1.4555","0.8179"
"8.3000","0.8280","1.4856","0.8280"
"8.4000","0.8380","1.4833","0.8380"
"8.5000","0.8480","1.4755","0.8480"
"8.6000","0.8580","1.4777","0.8580"
"8.7000","0.8679","1.4613","0.8679"
"8.8000","0.8779","1.4624","0.8779"
"8.9000","0.8880","1.4943","0.8880"
"9.0000","0.8980","1.4710","0.8980"
"9.1000","0.9080","1.5556","0.9080"
"9.2000","0.9179","1.7875","0.9179"
"9.3000","0.9279","1.9223","0.9279"
"9.4000","0.9380","1.9593","0.9380"
"9.5000","0.9480","2.0657","0.9480"
"9.6000","0.9580","1.9579","0.9580"
"9.7000","0.9680","1.9343","0.9680"
"9.8000","0.9779","1.9876","0.9779"
"9.9000","0.9879","1.9716","0.9879"
"10.0000","0.9980","2.0460","0.9980"
"10.1000","1.0080","2.1787","1.0080"
"10.2000","1.0180","2.4715","1.0180"
"10.3000","1.0279","2.7957","1.0279"
"10.4000","1.0379","3.1235","1.0379"
"10.5000","1.0480","3.4597","1.0480"
"10.6000","1.0580","3.2640","1.0580"
"10.7000","1.0680","3.6031","1.0680"
"10.8000","1.0779","3.2843","1.0779"
"10.9000","1.0879","3.2216","1.0879"
"11.0000","1.0979","3.3015","1.0979"
"11.1000","1.1080","3.2884","1.1080"
"11.2000","1.1180","3.1184","1.1180"
"11.3000","1.1280","3.1487","1.1280"
"11.4000","1.1379","3.1024","1.1379"
"11.5000","1.1479","3.0454","1.1479"
"11.6000","1.1580","3.0387","1.1580"
"11.7000","1.1680","3.1095","1.1680"
"11.8000","1.1780","3.0703","1.1780"
"11.9000","1.1879","3.0333","1.1879"
"12.0000","1.1979","3.1329","1.1979"
"12.1000","1.2080","3.1814","1.2080"
"12.2000","1.2180","3.2168","1.2180"
"12.3000","1.2280","3.1867","1.2280"
"12.4000","1.2380","3.1401","1.2380"
"12.5000","1.2479","3.2564","1.2479"
"12.6000","1.2579","3.8175","1.2579"
"12.7000","1.2680","4.4092","1.2680"
"12.8000","1.2780","5.1510","1.2780"
"12.9000","1.2880","5.9115","1.2880"
"13.0000","1.2979","6.4249","1.2979"
"13.1000","1.3079","5.2027","1.3079"
"13.2000","1.3180","5.3681","1.3180"
"13.3000","1.3280","5.4599","1.3280"
"13.4000","1.3380","5.1815","1.3380"
"13.5000","1.3480","5.2665","1.3480"
"13.6000","1.3579","6.0501","1.3579"
"13.7000","1.3680","7.6812","1.3680"
"13.8000","1.3780","9.2728","1.3780"
"13.9000","1.3880","10.8466","1.3880"
"14.0000","1.3980","12.4128","1.3980"
"14.1000","1.4079","13.8767","1.4079"
"14.2000","1.4179","15.2084","1.4179"
"14.3000","1.4280","16.4874","1.4280"
"14.4000","1.4380","17.8895","1.4380"
"14.5000","1.4480","19.3701","1.4480"
"14.6000","1.4579","20.7964","1.4579"
"14.7000","1.4679","22.2384","1.4679"
"14.8000","1.4779","23.6416","1.4779"
"14.9000","1.4880","25.1063","1.4880"
"15.0000","1.4980","26.5450","1.4980"
"15.1000","1.5080","28.0270","1.5080"
"15.2000","1.5179","29.3526","1.5179"
"15.3000","1.5279","30.7942","1.5279"
"15.4000","1.5380","32.1834","1.5380"
"15.5000","1.5480","33.5450","1.5480"
"15.6000","1.5580","34.8378","1.5580"
"15.7000","1.5679","36.1759","1.5679"
"15.8000","1.5779","37.5206","1.5779"
"15.9000","1.5880","38.8561","1.5880"
"16.0000","1.5980","40.1637","1.5980"
"16.1000","1.6080","41.4495","1.6080"
"16.2000","1.6180","42.6861","1.6180"
"16.3000","1.6279","44.0027","1.6279"
"16.4000","1.6380","45.3892","1.6380"
"16.5000","1.6480","46.7247","1.6480"
"16.6000","1.6580","48.1166","1.6580"
"16.7000","1.6680","49.5444","1.6680"
"16.8000","1.6779","50.9397","1.6779"
"16.9000","1.6879","52.4335","1.6879"
"17.0000","1.6980","53.9058","1.6980"
"17.1000","1.7080","55.3439","1.7080"
"17.2000","1.7180","56.7368","1.7180"
"17.3000","1.7279","58.0892","1.7279"
"17.4000","1.7379","59.5077","1.7379"
"17.5000","1.7480","60.9868","1.7480"
"17.6000","1.7580","62.4099","1.7580"
"17.7000","1.7680","63.8072","1.7680"
"17.8000","1.7780","65.2723","1.7780"
"17.9000","1.7879","66.6816","1.7879"
"18.0000","1.7979","68.0921","1.7979"
"18.1000","1.8080","69.4448","1.8080"
