Time,Displacement,Force,Flexure displacement
(s),(mm),(N),(mm)
"0.0000","0.0000","9.8130","0.0000"
"0.1000","0.0070","10.7404","0.0070"
"0.2000","0.0179","12.2393","0.0179"
"0.3000","0.0281","13.4271","0.0281"
"0.4000","0.0380","14.4114","0.0380"
"0.5000","0.0480","15.3345","0.0480"
"0.6000","0.0580","16.3186","0.0580"
"0.7000","0.0680","17.3420","0.0680"
"0.8000","0.0780","18.3330","0.0780"
"0.9000","0.0880","19.4028","0.0880"
"1.0000","0.0980","20.4164","0.0980"
"1.1000","0.1080","21.4097","0.1080"
"1.2000","0.1180","22.3495","0.1180"
"1.3000","0.1279","23.1817","0.1279"
"1.4000","0.1380","23.9514","0.1380"
"1.5000","0.1480","24.9046","0.1480"
"1.6000","0.1580","25.8462","0.1580"
"1.7000","0.1680","26.7511","0.1680"
"1.8000","0.1779","27.6837","0.1779"
"1.9000","0.1880","28.5629","0.1880"
"2.0000","0.1980","29.4835","0.1980"
"2.1000","0.2080","30.4677","0.2080"
"2.2000","0.2180","31.3958","0.2180"
"2.3000","0.2280","32.3240","0.2280"
"2.4000","0.2379","33.2729","0.2379"
"2.5000","0.2481","34.2389","0.2481"
"2.6000","0.2580","35.1973","0.2580"
"2.7000","0.2680","36.0527","0.2680"
"2.8000","0.2780","36.8936","0.2780"
"2.9000","0.2879","37.7847","0.2879"
"3.0000","0.2980","38.6491","0.2980"
"3.1000","0.3080","39.5982","0.3080"
"3.2000","0.3180","40.5179","0.3180"
"3.3000","0.3280","41.3699","0.3280"
"3.4000","0.3379","42.2917","0.3379"
"3.5000","0.3479","43.2784","0.3479"
"3.6000","0.3580","44.2275","0.3580"
"3.7000","0.3680","45.1856","0.3680"
"3.8000","0.3780","46.1014","0.3780"
"3.9000","0.3879","46.9922","0.3879"
"4.0000","0.3979","47.9153","0.3979"
"4.1000","0.4080","48.8352","0.4080"
"4.2000","0.4180","49.7623","0.4180"
"4.3000","0.4280","50.6367","0.4280"
"4.4000","0.4380","51.5106","0.4380"
"4.5000","0.4479","52.3868","0.4479"
"4.6000","0.4579","53.2296","0.4579"
"4.7000","0.4680","54.0531","0.4680"
"4.8000","0.4780","54.9165","0.4780"
"4.9000","0.4880","55.7186","0.4880"
"5.0000","0.4979","56.5109","0.4979"
"5.1000","0.5079","57.2731","0.5079"
"5.2000","0.5180","58.1468","0.5180"
"5.3000","0.5280","58.9681","0.5280"
"5.4000","0.5380","59.8631","0.5380"
"5.5000","0.5480","60.6851","0.5480"
"5.6000","0.5579","61.5027","0.5579"
"5.7000","0.5680","62.3152","0.5680"
"5.8000","0.5780","63.1505","0.5780"
"5.9000","0.5880","63.9432","0.5880"
"6.0000","0.5980","64.7639","0.5980"
"6.1000","0.6079","65.5316","0.6079"
"6.2000","0.6179","66.3255","0.6179"
"6.3000","0.6280","67.1432","0.6280"
"6.4000","0.6380","67.8870","0.6380"
"6.5000","0.6480","68.6606","0.6480"
"6.6000","0.6579","69.4136","0.6579"
"6.7000","0.6679","70.1459","0.6679"
"6.8000","0.6780","70.9193","0.6780"
"6.9000","0.6880","71.6071","0.6880"
"7.0000","0.6980","72.4165","0.6980"
"7.1000","0.7080","73.1929","0.7080"
"7.2000","0.7179","73.9170","0.7179"
"7.3000","0.7280","74.5150","0.7280"
"7.4000","0.7380","75.2144","0.7380"
"7.5000","0.7480","75.8899","0.7480"
"7.6000","0.7580","76.5947","0.7580"
"7.7000","0.7679","77.3100","0.7679"
"7.8000","0.7779","78.0322","0.7779"
"7.9000","0.7880","78.8197","0.7880"
"8.0000","0.7980","79.6312","0.7980"
"8.1000","0.8080","80.4388","0.8080"
"8.2000","0.8180","81.2303","0.8180"
"8.3000","0.8279","82.0589","0.8279"
"8.4000","0.8380","82.9308","0.8380"
"8.5000","0.8480","83.8054","0.8480"
"8.6000","0.8580","84.6707","0.8580"
"8.7000","0.8680","85.5025","0.8680"
"8.8000","0.8779","86.3947","0.8779"
"8.9000","0.8880","87.2475","0.8880"
"9.0000","0.8980","88.1247","0.8980"
"9.1000","0.9080","89.0234","0.9080"
"9.2000","0.9180","89.8649","0.9180"
"9.3000","0.9279","90.7629","0.9279"
"9.4000","0.9379","91.6370","0.9379"
"9.5000","0.9480","92.5960","0.9480"
"9.6000","0.9580","93.5830","0.9580"
"9.7000","0.9680","94.5410","0.9680"
"9.8000","0.9780","95.4877","0.9780"
"9.9000","0.9879","96.4125","0.9879"
"10.0000","0.9980","97.4433","0.9980"
"10.1000","1.0080","98.4183","1.0080"
"10.2000","1.0180","99.3591","1.0180"
"10.3000","1.0280","100.2764","1.0280"
"10.4000","1.0379","101.1683","1.0379"
"10.5000","1.0479","102.1322","1.0479"
"10.6000","1.0580","103.0823","1.0580"
"10.7000","1.0680","104.0321","1.0680"
"10.8000","1.0780","104.9593","1.0780"
