Time,Displacement,Force,Flexure displacement
(s),(mm),(N),(mm)
"0.0000","0.0000","68.7237","0.0000"
"0.1000","0.0069","69.6764","0.0069"
"0.2000","0.0179","71.5503","0.0179"
"0.3000","0.0281","73.2766","0.0281"
"0.4000","0.0380","74.8813","0.0380"
"0.5000","0.0480","76.3500","0.0480"
"0.6000","0.0580","77.2986","0.0580"
"0.7000","0.0681","78.5230","0.0681"
"0.8000","0.0780","79.7065","0.0780"
"0.9000","0.0880","80.8773","0.0880"
"1.0000","0.0980","81.9207","0.0980"
"1.1000","0.1079","82.9861","0.1079"
"1.2000","0.1180","84.0560","0.1180"
"1.3000","0.1280","85.1516","0.1280"
"1.4000","0.1380","86.0076","0.1380"
"1.5000","0.1480","86.7715","0.1480"
"1.6000","0.1580","87.7427","0.1580"
"1.7000","0.1679","88.6297","0.1679"
"1.8000","0.1780","89.5437","0.1780"
"1.9000","0.1880","90.4633","0.1880"
"2.0000","0.1980","91.3175","0.1980"
"2.1000","0.2080","92.2222","0.2080"
"2.2000","0.2179","93.1023","0.2179"
"2.3000","0.2280","93.9549","0.2280"
"2.4000","0.2380","94.7984","0.2380"
"2.5000","0.2480","95.6780","0.2480"
"2.6000","0.2580","96.4853","0.2580"
"2.7000","0.2680","97.3267","0.2680"
"2.8000","0.2779","98.2185","0.2779"
"2.9000","0.2880","99.0923","0.2880"
"3.0000","0.2980","99.9573","0.2980"
"3.1000","0.3080","100.8117","0.3080"
"3.2000","0.3180","101.7109","0.3180"
"3.3000","0.3279","102.6066","0.3279"
"3.4000","0.3380","103.4256","0.3380"
"3.5000","0.3480","104.3380","0.3480"
"3.6000","0.3580","105.1888","0.3580"
"3.7000","0.3680","106.0663","0.3680"
"3.8000","0.3779","106.9729","0.3779"
"3.9000","0.3880","107.8052","0.3880"
"4.0000","0.3980","108.6740","0.3980"
"4.1000","0.4080","109.6681","0.4080"
"4.2000","0.4180","110.6736","0.4180"
"4.3000","0.4279","111.6349","0.4279"
"4.4000","0.4379","112.5990","0.4379"
"4.5000","0.4480","113.5793","0.4480"
"4.6000","0.4580","114.5823","0.4580"
"4.7000","0.4680","115.5522","0.4680"
"4.8000","0.4780","116.4980","0.4780"
"4.9000","0.4879","117.5250","0.4879"
"5.0000","0.4980","118.5121","0.4980"
"5.1000","0.5080","119.5082","0.5080"
"5.2000","0.5180","120.4650","0.5180"
"5.3000","0.5280","121.4648","0.5280"
"5.4000","0.5379","122.4126","0.5379"
"5.5000","0.5479","123.3724","0.5479"
"5.6000","0.5580","124.3442","0.5580"
"5.7000","0.5680","125.2998","0.5680"
"5.8000","0.5780","126.2439","0.5780"
"5.9000","0.5880","127.1960","0.5880"
"6.0000","0.5979","128.0879","0.5979"
"6.1000","0.6080","128.9712","0.6080"
"6.2000","0.6180","129.8410","0.6180"
"6.3000","0.6280","130.7138","0.6280"
"6.4000","0.6380","131.5812","0.6380"
"6.5000","0.6479","132.3993","0.6479"
"6.6000","0.6580","133.2362","0.6580"
"6.7000","0.6680","134.0770","0.6680"
"6.8000","0.6780","134.8883","0.6780"
"6.9000","0.6880","135.7398","0.6880"
"7.0000","0.6980","136.5894","0.6980"
"7.1000","0.7079","137.3880","0.7079"
"7.2000","0.7180","138.2654","0.7180"
"7.3000","0.7280","139.1480","0.7280"
"7.4000","0.7380","140.0277","0.7380"
"7.5000","0.7480","140.8607","0.7480"
"7.6000","0.7579","141.7543","0.7579"
"7.7000","0.7680","142.6137","0.7680"
"7.8000","0.7780","143.4668","0.7780"
"7.9000","0.7880","144.3551","0.7880"
"8.0000","0.7980","145.2448","0.7980"
"8.1000","0.8079","146.0835","0.8079"
"8.2000","0.8179","146.9282","0.8179"
"8.3000","0.8280","147.7701","0.8280"
"8.4000","0.8380","148.5721","0.8380"
"8.5000","0.8480","149.1206","0.8480"
"8.6000","0.8579","147.4476","0.8579"
"8.7000","0.8679","148.6616","0.8679"
"8.8000","0.8780","149.5423","0.8780"
"8.9000","0.8880","150.4788","0.8880"
"9.0000","0.8980","151.4221","0.8980"
"9.1000","0.9080","152.3367","0.9080"
"9.2000","0.9179","153.2952","0.9179"
"9.3000","0.9279","154.2283","0.9279"
"9.4000","0.9380","155.0942","0.9380"
"9.5000","0.9480","155.8749","0.9480"
"9.6000","0.9580","156.7042","0.9580"
"9.7000","0.9680","157.6088","0.9680"
"9.8000","0.9779","158.5487","0.9779"
"9.9000","0.9880","159.5304","0.9880"
"10.0000","0.9980","160.5137","0.9980"
"10.1000","1.0080","161.4316","1.0080"
"10.2000","1.0180","162.3421","1.0180"
"10.3000","1.0279","163.2810","1.0279"
"10.4000","1.0380","164.2067","1.0380"
"10.5000","1.0480","165.1519","1.0480"
"10.6000","1.0580","166.1124","1.0580"
"10.7000","1.0680","167.0799","1.0680"
"10.8000","1.0779","168.0526","1.0779"
"10.9000","1.0879","169.0639","1.0879"
"11.0000","1.0980","169.9757","1.0980"
"11.1000","1.1080","170.8831","1.1080"
"11.2000","1.1180","171.8013","1.1180"
"11.3000","1.1280","172.6312","1.1280"
"11.4000","1.1379","173.4987","1.1379"
"11.5000","1.1480","174.3621","1.1480"
"11.6000","1.1580","175.2024","1.1580"
"11.7000","1.1680","176.0265","1.1680"
"11.8000","1.1780","176.8622","1.1780"
"11.9000","1.1879","177.5956","1.1879"
"12.0000","1.1979","178.2697","1.1979"
"12.1000","1.2080","179.0971","1.2080"
"12.2000","1.2180","179.8865","1.2180"
"12.3000","1.2280","180.6651","1.2280"
"12.4000","1.2379","181.4285","1.2379"
"12.5000","1.2479","182.2352","1.2479"
"12.6000","1.2580","183.0406","1.2580"
"12.7000","1.2680","183.9111","1.2680"
"12.8000","1.2780","184.8002","1.2780"
"12.9000","1.2879","185.6480","1.2879"
"13.0000","1.2979","186.5373","1.2979"
"13.1000","1.3079","187.4169","1.3079"
"13.2000","1.3180","188.3022","1.3180"
"13.3000","1.3280","189.2161","1.3280"
"13.4000","1.3380","190.1424","1.3380"
"13.5000","1.3479","191.0569","1.3479"
"13.6000","1.3579","191.9497","1.3579"
"13.7000","1.3680","192.9102","1.3680"
"13.8000","1.3780","193.7973","1.3780"
"13.9000","1.3880","194.7406","1.3880"
"14.0000","1.3979","195.6572","1.3979"
"14.1000","1.4079","196.5991","1.4079"
"14.2000","1.4180","197.5883","1.4180"
"14.3000","1.4280","198.4898","1.4280"
"14.4000","1.4380","199.3945","1.4380"
"14.5000","1.4480","200.2848","1.4480"
"14.6000","1.4579","201.1391","1.4579"
"14.7000","1.4679","201.9948","1.4679"
"14.8000","1.4780","202.9200","1.4780"
"14.9000","1.4880","203.8071","1.4880"
"15.0000","1.4980","204.6797","1.4980"
"15.1000","1.5079","205.5595","1.5079"
"15.2000","1.5179","206.4238","1.5179"
"15.3000","1.5280","207.3305","1.5280"
"15.4000","1.5380","208.2628","1.5380"
"15.5000","1.5480","209.2089","1.5480"
"15.6000","1.5580","210.1043","1.5580"
"15.7000","1.5679","211.0603","1.5679"
"15.8000","1.5780","212.0368","1.5780"
"15.9000","1.5880","212.9623","1.5880"
"16.0000","1.5980","213.9580","1.5980"
"16.1000","1.6080","214.9588","1.6080"
"16.2000","1.6179","215.8498","1.6179"
"16.3000","1.6279","216.8291","1.6279"
"16.4000","1.6380","217.8212","1.6380"
"16.5000","1.6480","218.8000","1.6480"
"16.6000","1.6580","219.8169","1.6580"
"16.7000","1.6679","220.8541","1.6679"
"16.8000","1.6779","221.8008","1.6779"
"16.9000","1.6880","222.7985","1.6880"
"17.0000","1.6980","223.8051","1.6980"
"17.1000","1.7080","224.8255","1.7080"
"17.2000","1.7180","225.7807","1.7180"
"17.3000","1.7279","226.7732","1.7279"
"17.4000","1.7380","227.7758","1.7380"
"17.5000","1.7480","228.8298","1.7480"
"17.6000","1.7580","229.8177","1.7580"
"17.7000","1.7680","230.8685","1.7680"
"17.8000","1.7779","231.8563","1.7779"
"17.9000","1.7879","232.8685","1.7879"
"18.0000","1.7980","233.8907","1.7980"
"18.1000","1.8080","234.9165","1.8080"
"18.2000","1.8180","235.8713","1.8180"
"18.3000","1.8280","236.9006","1.8280"
"18.4000","1.8379","237.8827","1.8379"
"18.5000","1.8480","238.8821","1.8480"
"18.6000","1.8580","239.8563","1.8580"
"18.7000","1.8680","240.9220","1.8680"
"18.8000","1.8780","241.9059","1.8780"
"18.9000","1.8879","242.8461","1.8879"
"19.0000","1.8979","243.8815","1.8979"
"19.1000","1.9080","244.8888","1.9080"
"19.2000","1.9180","245.9016","1.9180"
"19.3000","1.9280","246.8976","1.9280"
"19.4000","1.9380","247.8742","1.9380"
"19.5000","1.9479","248.8622","1.9479"
"19.6000","1.9580","249.8588","1.9580"
"19.7000","1.9680","250.8388","1.9680"
"19.8000","1.9780","251.8255","1.9780"
"19.9000","1.9880","252.7843","1.9880"
"20.0000","1.9979","253.7727","1.9979"
"20.1000","2.0079","254.7606","2.0079"
"20.2000","2.0180","255.7849","2.0180"
"20.3000","2.0280","256.7921","2.0280"
"20.4000","2.0380","257.7827","2.0380"
"20.5000","2.0479","258.7582","2.0479"
"20.6000","2.0579","259.7310","2.0579"
"20.7000","2.0680","260.7507","2.0680"
"20.8000","2.0780","261.6829","2.0780"
"20.9000","2.0880","262.7145","2.0880"
"21.0000","2.0980","263.6760","2.0980"
"21.1000","2.1079","264.6380","2.1079"
"21.2000","2.1180","265.6665","2.1180"
"21.3000","2.1280","266.6677","2.1280"
"21.4000","2.1380","267.6497","2.1380"
"21.5000","2.1480","268.6995","2.1480"
"21.6000","2.1579","269.6743","2.1579"
"21.7000","2.1679","270.7049","2.1679"
"21.8000","2.1780","271.6638","2.1780"
"21.9000","2.1880","272.6825","2.1880"
"22.0000","2.1980","273.6626","2.1980"
"22.1000","2.2079","274.5994","2.2079"
