Time,Displacement,Force,Flexure displacement
(s),(mm),(N),(mm)
"0.0000","0.0000","9.3255","0.0000"
"0.1000","0.0070","10.3523","0.0070"
"0.2000","0.0183","12.1821","0.0183"
"0.3000","0.0280","13.4374","0.0280"
"0.4000","0.0380","14.5127","0.0380"
"0.5000","0.0480","15.5220","0.0480"
"0.6000","0.0580","16.5476","0.0580"
"0.7000","0.0680","17.5540","0.0680"
"0.8000","0.0780","18.5217","0.0780"
"0.9000","0.0880","19.2064","0.0880"
"1.0000","0.0979","20.0848","0.0979"
"1.1000","0.1079","20.9362","0.1079"
"1.2000","0.1180","21.8221","0.1180"
"1.3000","0.1280","22.7058","0.1280"
"1.4000","0.1380","23.6483","0.1380"
"1.5000","0.1480","24.5595","0.1480"
"1.6000","0.1579","25.5207","0.1579"
"1.7000","0.1680","26.5070","0.1680"
"1.8000","0.1780","27.4269","0.1780"
"1.9000","0.1880","28.3570","0.1880"
"2.0000","0.1980","29.3321","0.1980"
"2.1000","0.2079","30.2110","0.2079"
"2.2000","0.2179","31.0942","0.2179"
"2.3000","0.2280","32.0231","0.2280"
"2.4000","0.2380","32.8951","0.2380"
"2.5000","0.2480","33.7809","0.2480"
"2.6000","0.2580","34.6974","0.2580"
"2.7000","0.2679","35.5812","0.2679"
"2.8000","0.2780","36.4384","0.2780"
"2.9000","0.2880","37.3287","0.2880"
"3.0000","0.2980","38.2403","0.2980"
"3.1000","0.3080","39.0955","0.3080"
"3.2000","0.3179","40.0351","0.3179"
"3.3000","0.3279","40.9207","0.3279"
"3.4000","0.3380","41.8028","0.3380"
"3.5000","0.3480","42.6314","0.3480"
"3.6000","0.3580","43.5348","0.3580"
"3.7000","0.3679","44.4211","0.3679"
"3.8000","0.3779","45.2432","0.3779"
"3.9000","0.3880","46.1349","0.3880"
"4.0000","0.3980","47.0673","0.3980"
"4.1000","0.4080","47.9817","0.4080"
"4.2000","0.4180","48.8948","0.4180"
"4.3000","0.4279","49.8323","0.4279"
"4.4000","0.4379","50.7425","0.4379"
"4.5000","0.4480","51.6360","0.4480"
"4.6000","0.4580","52.5623","0.4580"
"4.7000","0.4680","53.4668","0.4680"
"4.8000","0.4779","54.3776","0.4779"
"4.9000","0.4879","55.2895","0.4879"
"5.0000","0.4980","56.2176","0.4980"
"5.1000","0.5080","57.1650","0.5080"
"5.2000","0.5180","58.0475","0.5180"
"5.3000","0.5280","58.9639","0.5280"
"5.4000","0.5379","59.8981","0.5379"
"5.5000","0.5480","60.8070","0.5480"
"5.6000","0.5580","61.7327","0.5580"
"5.7000","0.5680","62.6731","0.5680"
"5.8000","0.5780","63.6024","0.5780"
"5.9000","0.5879","64.5559","0.5879"
"6.0000","0.5979","65.4992","0.5979"
"6.1000","0.6080","66.4515","0.6080"
"6.2000","0.6180","67.3927","0.6180"
"6.3000","0.6280","68.3414","0.6280"
"6.4000","0.6379","69.2481","0.6379"
"6.5000","0.6479","70.1671","0.6479"
"6.6000","0.6580","71.0708","0.6580"
"6.7000","0.6680","72.0101","0.6680"
"6.8000","0.6780","72.9287","0.6780"
"6.9000","0.6880","73.8711","0.6880"
"7.0000","0.6979","74.8051","0.6979"
"7.1000","0.7079","75.7464","0.7079"
"7.2000","0.7180","76.6642","0.7180"
"7.3000","0.7280","77.5927","0.7280"
"7.4000","0.7380","78.5323","0.7380"
"7.5000","0.7479","79.4258","0.7479"
"7.6000","0.7579","80.3408","0.7579"
"7.7000","0.7680","81.3020","0.7680"
"7.8000","0.7780","82.1792","0.7780"
"7.9000","0.7880","83.0546","0.7880"
"8.0000","0.7979","83.9758","0.7979"
"8.1000","0.8079","84.8784","0.8079"
"8.2000","0.8180","85.8428","0.8180"
"8.3000","0.8280","86.7708","0.8280"
"8.4000","0.8380","87.6825","0.8380"
"8.5000","0.8480","88.6118","0.8480"
"8.6000","0.8579","89.4822","0.8579"
"8.7000","0.8679","90.4047","0.8679"
"8.8000","0.8780","91.2934","0.8780"
"8.9000","0.8880","92.1380","0.8880"
"9.0000","0.8980","93.0223","0.8980"
"9.1000","0.9079","93.8173","0.9079"
"9.2000","0.9179","94.6714","0.9179"
"9.3000","0.9280","95.5347","0.9280"
"9.4000","0.9380","96.4152","0.9380"
"9.5000","0.9480","97.2924","0.9480"
"9.6000","0.9580","98.1824","0.9580"
"9.7000","0.9679","99.0794","0.9679"
"9.8000","0.9780","99.8863","0.9780"
"9.9000","0.9880","100.7232","0.9880"
"10.0000","0.9980","101.5827","0.9980"
"10.1000","1.0080","102.4420","1.0080"
"10.2000","1.0179","103.2789","1.0179"
"10.3000","1.0279","104.1518","1.0279"
"10.4000","1.0380","105.0169","1.0380"
"10.5000","1.0480","105.8382","1.0480"
"10.6000","1.0580","106.6512","1.0580"
"10.7000","1.0680","107.4493","1.0680"
"10.8000","1.0779","108.2848","1.0779"
"10.9000","1.0880","109.0753","1.0880"
"11.0000","1.0980","109.8751","1.0980"
"11.1000","1.1080","110.6858","1.1080"
"11.2000","1.1180","111.5483","1.1180"
"11.3000","1.1279","112.3831","1.1279"
"11.4000","1.1379","113.2678","1.1379"
"11.5000","1.1480","114.1228","1.1480"
"11.6000","1.1580","115.0117","1.1580"
"11.7000","1.1680","115.8954","1.1680"
"11.8000","1.1779","116.7713","1.1779"
"11.9000","1.1879","117.6364","1.1879"
"12.0000","1.1980","118.5266","1.1980"
"12.1000","1.2080","119.4088","1.2080"
"12.2000","1.2180","120.2848","1.2180"
"12.3000","1.2280","121.1306","1.2280"
"12.4000","1.2379","121.9758","1.2379"
"12.5000","1.2480","122.9174","1.2480"
"12.6000","1.2580","123.7911","1.2580"
"12.7000","1.2680","124.6929","1.2680"
"12.8000","1.2780","125.6047","1.2780"
"12.9000","1.2879","126.5212","1.2879"
"13.0000","1.2979","127.4123","1.2979"
"13.1000","1.3080","128.3125","1.3080"
"13.2000","1.3180","129.2532","1.3180"
"13.3000","1.3280","130.1391","1.3280"
"13.4000","1.3379","131.0168","1.3379"
"13.5000","1.3479","131.9179","1.3479"
"13.6000","1.3580","132.8210","1.3580"
"13.7000","1.3680","133.7407","1.3680"
"13.8000","1.3780","134.6533","1.3780"
"13.9000","1.3880","135.5037","1.3880"
"14.0000","1.3979","136.3930","1.3979"
"14.1000","1.4079","137.2776","1.4079"
"14.2000","1.4180","138.2200","1.4180"
"14.3000","1.4280","139.0792","1.4280"
"14.4000","1.4380","139.9714","1.4380"
"14.5000","1.4479","140.8241","1.4479"
"14.6000","1.4579","141.6871","1.4579"
"14.7000","1.4680","142.5492","1.4680"
"14.8000","1.4780","143.4339","1.4780"
"14.9000","1.4880","144.3430","1.4880"
"15.0000","1.4980","145.3176","1.4980"
"15.1000","1.5079","146.3489","1.5079"
"15.2000","1.5180","147.3909","1.5180"
"15.3000","1.5280","148.4864","1.5280"
"15.4000","1.5380","149.5731","1.5380"
"15.5000","1.5480","150.6376","1.5480"
"15.6000","1.5579","151.6913","1.5579"
"15.7000","1.5679","152.7460","1.5679"
"15.8000","1.5780","153.8164","1.5780"
"15.9000","1.5880","154.9124","1.5880"
"16.0000","1.5980","155.9698","1.5980"
"16.1000","1.6079","156.9969","1.6079"
"16.2000","1.6179","158.0369","1.6179"
"16.3000","1.6280","159.1185","1.6280"
"16.4000","1.6380","160.1598","1.6380"
"16.5000","1.6480","161.2368","1.6480"
"16.6000","1.6580","162.3140","1.6580"
"16.7000","1.6679","163.3411","1.6679"
"16.8000","1.6779","164.3714","1.6779"
"16.9000","1.6880","165.4645","1.6880"
"17.0000","1.6980","166.5097","1.6980"
"17.1000","1.7080","167.5751","1.7080"
"17.2000","1.7179","168.5953","1.7179"
"17.3000","1.7279","169.6470","1.7279"
"17.4000","1.7380","170.7565","1.7380"
"17.5000","1.7480","171.8093","1.7480"
"17.6000","1.7580","172.8839","1.7580"
"17.7000","1.7680","173.9554","1.7680"
"17.8000","1.7779","175.0128","1.7779"
"17.9000","1.7880","176.0910","1.7880"
"18.0000","1.7980","177.1913","1.7980"
"18.1000","1.8080","178.2492","1.8080"
"18.2000","1.8180","179.3353","1.8180"
"18.3000","1.8279","180.4315","1.8279"
"18.4000","1.8379","181.4982","1.8379"
"18.5000","1.8480","182.6082","1.8480"
"18.6000","1.8580","183.6733","1.8580"
"18.7000","1.8680","184.7838","1.8680"
"18.8000","1.8780","185.8464","1.8780"
"18.9000","1.8879","186.9232","1.8879"
"19.0000","1.8980","188.0161","1.8980"
"19.1000","1.9080","189.1077","1.9080"
"19.2000","1.9180","190.2162","1.9180"
"19.3000","1.9280","191.2893","1.9280"
"19.4000","1.9379","192.4139","1.9379"
"19.5000","1.9479","193.5383","1.9479"
"19.6000","1.9580","194.6509","1.9580"
"19.7000","1.9680","195.7440","1.9680"
"19.8000","1.9780","196.8002","1.9780"
"19.9000","1.9879","197.8603","1.9879"
